wd25cd,wd25nm,lad25cd,lad25nm
E05014646,Alexandra,E08000004,Oldham
E05014647,Chadderton Central,E08000004,Oldham
E05014648,Chadderton North,E08000004,Oldham
E05014649,Chadderton South,E08000004,Oldham
E05014650,Coldhurst,E08000004,Oldham
E05014651,Crompton,E08000004,Oldham
E05014652,Failsworth East,E08000004,Oldham
E05014653,Failsworth West,E08000004,Oldham
E05014654,Hollinwood,E08000004,Oldham
E05014655,Medlock Vale,E08000004,Oldham
E05014656,Royton North,E08000004,Oldham
E05014657,Royton South,E08000004,Oldham
E05014658,Saddleworth North,E08000004,Oldham
E05014659,Saddleworth South,E08000004,Oldham
E05014660,Saddleworth West & Lees,E08000004,Oldham
E05014661,Shaw,E08000004,Oldham
E05014662,St James',E08000004,Oldham
E05014663,St Mary's,E08000004,Oldham
E05014664,Waterhead,E08000004,Oldham
E05014665,Werneth,E08000004,Oldham
E05014033,Balderstone & Kirkholt,E08000005,Rochdale
E05014034,Bamford,E08000005,Rochdale
E05014035,Castleton,E08000005,Rochdale
E05014036,Central Rochdale,E08000005,Rochdale
E05014037,East Middleton,E08000005,Rochdale
E05014038,Healey,E08000005,Rochdale
E05014039,Hopwood Hall,E08000005,Rochdale
E05014040,Kingsway,E08000005,Rochdale
E05014041,Littleborough Lakeside,E08000005,Rochdale
E05014042,Milkstone & Deeplish,E08000005,Rochdale
E05014043,Milnrow & Newhey,E08000005,Rochdale
E05014044,Norden,E08000005,Rochdale
E05014045,North Heywood,E08000005,Rochdale
E05014046,North Middleton,E08000005,Rochdale
E05014047,Smallbridge & Firgrove,E08000005,Rochdale
E05014048,South Middleton,E08000005,Rochdale
E05014049,Spotland & Falinge,E08000005,Rochdale
E05014050,"Wardle, Shore & West Littleborough",E08000005,Rochdale
E05014051,West Heywood,E08000005,Rochdale
E05014052,West Middleton,E08000005,Rochdale
E05013018,Barton & Winton,E08000006,Salford
E05013019,Blackfriars & Trinity,E08000006,Salford
E05013020,Boothstown & Ellenbrook,E08000006,Salford
E05013021,Broughton,E08000006,Salford
E05013022,Cadishead & Lower Irlam,E08000006,Salford
E05013023,Claremont,E08000006,Salford
E05013024,Eccles,E08000006,Salford
E05013025,Higher Irlam & Peel Green,E08000006,Salford
E05013026,Kersal & Broughton Park,E08000006,Salford
E05013027,Little Hulton,E08000006,Salford
E05013028,Ordsall,E08000006,Salford
E05013029,Pendlebury & Clifton,E08000006,Salford
E05013030,Pendleton & Charlestown,E08000006,Salford
E05013031,Quays,E08000006,Salford
E05013032,Swinton & Wardley,E08000006,Salford
E05013033,Swinton Park,E08000006,Salford
E05013034,Walkden North,E08000006,Salford
E05013035,Walkden South,E08000006,Salford
E05013036,Weaste & Seedley,E08000006,Salford
E05013037,Worsley & Westwood Park,E08000006,Salford
E05015014,Bramhall North,E08000007,Stockport
E05015015,Bramhall South & Woodford,E08000007,Stockport
E05015016,Bredbury & Woodley,E08000007,Stockport
E05015017,Bredbury Green & Romiley,E08000007,Stockport
E05015018,Brinnington & Stockport Central,E08000007,Stockport
E05015019,Cheadle East & Cheadle Hulme North,E08000007,Stockport
E05015020,Cheadle Hulme South,E08000007,Stockport
E05015021,Cheadle West & Gatley,E08000007,Stockport
E05015022,Davenport & Cale Green,E08000007,Stockport
E05015023,Edgeley,E08000007,Stockport
E05015024,Hazel Grove,E08000007,Stockport
E05015025,Heald Green,E08000007,Stockport
E05015026,Heatons North,E08000007,Stockport
E05015027,Heatons South,E08000007,Stockport
E05015028,Manor,E08000007,Stockport
E05015029,Marple North,E08000007,Stockport
E05015030,Marple South & High Lane,E08000007,Stockport
E05015031,Norbury & Woodsmoor,E08000007,Stockport
E05015032,Offerton,E08000007,Stockport
E05015033,Reddish North,E08000007,Stockport
E05015034,Reddish South,E08000007,Stockport
E05014519,Ashton Hurst,E08000008,Tameside
E05014520,Ashton St Michael's,E08000008,Tameside
E05014521,Ashton Waterloo,E08000008,Tameside
E05014522,Audenshaw,E08000008,Tameside
E05014523,Denton North East,E08000008,Tameside
E05014524,Denton South,E08000008,Tameside
E05014525,Denton West,E08000008,Tameside
E05014526,Droylsden East,E08000008,Tameside
E05014527,Droylsden West,E08000008,Tameside
E05014528,Dukinfield,E08000008,Tameside
E05014529,Dukinfield Stalybridge,E08000008,Tameside
E05014530,Hyde Godley,E08000008,Tameside
E05014531,Hyde Newton,E08000008,Tameside
E05014532,Hyde Werneth,E08000008,Tameside
E05014533,Longdendale,E08000008,Tameside
E05014534,Mossley,E08000008,Tameside
E05014535,St Peter's,E08000008,Tameside
E05014536,Stalybridge North,E08000008,Tameside
E05014537,Stalybridge South,E08000008,Tameside
E05015239,Altrincham,E08000009,Trafford
E05015240,Ashton upon Mersey,E08000009,Trafford
E05015241,Bowdon,E08000009,Trafford
E05015242,Broadheath,E08000009,Trafford
E05015243,Brooklands,E08000009,Trafford
E05015244,Bucklow-St Martins,E08000009,Trafford
E05015245,Davyhulme,E08000009,Trafford
E05015246,Flixton,E08000009,Trafford
E05015247,Gorse Hill & Cornbrook,E08000009,Trafford
E05015248,Hale,E08000009,Trafford
E05015249,Hale Barns & Timperley South,E08000009,Trafford
E05015250,Longford,E08000009,Trafford
E05015251,Lostock & Barton,E08000009,Trafford
E05015252,Manor,E08000009,Trafford
E05015253,Old Trafford,E08000009,Trafford
E05015254,Sale Central,E08000009,Trafford
E05015255,Sale Moor,E08000009,Trafford
E05015256,Stretford & Humphrey Park,E08000009,Trafford
E05015257,Timperley Central,E08000009,Trafford
E05015258,Timperley North,E08000009,Trafford
E05015259,Urmston,E08000009,Trafford
E05014989,Abram,E08000010,Wigan
E05014990,Ashton-in-Makerfield South,E08000010,Wigan
E05014991,"Aspull, New Springs & Whelley",E08000010,Wigan
E05014992,Astley,E08000010,Wigan
E05014993,Atherton North,E08000010,Wigan
E05014994,Atherton South & Lilford,E08000010,Wigan
E05014995,Bryn with Ashton-in-Makerfield North,E08000010,Wigan
E05014996,Douglas,E08000010,Wigan
E05014997,Golborne & Lowton West,E08000010,Wigan
E05014998,Hindley,E08000010,Wigan
E05014999,Hindley Green,E08000010,Wigan
E05015000,Ince,E08000010,Wigan
E05015001,Leigh Central & Higher Folds,E08000010,Wigan
E05015002,Leigh South,E08000010,Wigan
E05015003,Leigh West,E08000010,Wigan
E05015004,Lowton East,E08000010,Wigan
E05015005,Orrell,E08000010,Wigan
E05015006,Pemberton,E08000010,Wigan
E05015007,Shevington with Lower Ground & Moor,E08000010,Wigan
E05015008,Standish with Langtree,E08000010,Wigan
E05015009,Tyldesley & Mosley Common,E08000010,Wigan
E05015010,Wigan Central,E08000010,Wigan
E05015011,Wigan West,E08000010,Wigan
E05015012,Winstanley,E08000010,Wigan
E05015013,Worsley Mesnes,E08000010,Wigan
