postcode,ward_code,ward_name,msoa_code,msoa_hcl_name,lsoa_code,lsoa_name,la_code,la_name,lon,lat
M14 6XN,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.221767,53.440603
M14 6XP,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.222065,53.440099
M14 6XQ,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.219946,53.440643
M14 6XR,E05011364,Fallowfield,E02001076,Fallowfield Central,E01005185,Manchester 032B,E08000003,Manchester,-2.2189,53.44229
M14 6XS,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.218787,53.440654
M14 6XT,E05011375,Old Moat,E02001076,Fallowfield Central,E01005271,Manchester 032C,E08000003,Manchester,-2.2227,53.440557
M14 6XU,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.219475,53.439906
M14 6XW,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.218617,53.439863
M14 6XX,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.21857,53.439522
M14 6XY,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.217624,53.440054
M14 6XZ,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.215697,53.439985
M14 6YA,E05011380,Withington,E02001080,Ladybarn,E01005310,Manchester 036C,E08000003,Manchester,-2.215485,53.439653
M14 6YB,E05011380,Withington,E02001080,Ladybarn,E01005309,Manchester 036B,E08000003,Manchester,-2.216927,53.439201
M14 6YD,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.21634,53.439238
M14 6YE,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.21542,53.438853
M14 6YF,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.214788,53.438872
M14 6YG,E05011380,Withington,E02001080,Ladybarn,E01005312,Manchester 036E,E08000003,Manchester,-2.215829,53.43932
