postcode,lon,lat,area_code,area_name,geometry
M16 0NU,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0NW,-2.278742,53.458013,E05000832,Longford,"c(-2.278742, 53.458013)"
M16 0NX,-2.28158,53.45682,E05000832,Longford,"c(-2.28158, 53.45682)"
M16 0NY,-2.284586,53.455914,E05000832,Longford,"c(-2.284586, 53.455914)"
M16 0NZ,-2.275413,53.460349,E05000832,Longford,"c(-2.275413, 53.460349)"
M16 0PA,-2.28461,53.45951,E05000832,Longford,"c(-2.28461, 53.45951)"
M16 0PB,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0PD,-2.285001,53.459437,E05000832,Longford,"c(-2.285001, 53.459437)"
M16 0PE,-2.278855,53.461492,E05000832,Longford,"c(-2.278855, 53.461492)"
M16 0PF,-2.276525,53.462279,E05000825,Clifford,"c(-2.276525, 53.462279)"
M16 0PG,-2.284235,53.459762,E05000832,Longford,"c(-2.284235, 53.459762)"
M16 0PH,-2.280104,53.461318,E05000832,Longford,"c(-2.280104, 53.461318)"
M16 0PJ,-2.277112,53.452921,E05000832,Longford,"c(-2.277112, 53.452921)"
M16 0PL,-2.281938,53.460855,E05000832,Longford,"c(-2.281938, 53.460855)"
M16 0PN,-2.281998,53.460827,E05000832,Longford,"c(-2.281998, 53.460827)"
M16 0PP,-2.282328,53.460648,E05000832,Longford,"c(-2.282328, 53.460648)"
M16 0PQ,-2.283606,53.460186,E05000832,Longford,"c(-2.283606, 53.460186)"
M16 0PR,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0PS,-2.275574,53.459531,E05000832,Longford,"c(-2.275574, 53.459531)"
M16 0PT,-2.286292,53.458795,E05000832,Longford,"c(-2.286292, 53.458795)"
M16 0PU,-2.285023,53.458178,E05000832,Longford,"c(-2.285023, 53.458178)"
M16 0PW,-2.280956,53.460336,E05000832,Longford,"c(-2.280956, 53.460336)"
M16 0PX,-2.287922,53.45712,E05000832,Longford,"c(-2.287922, 53.45712)"
M16 0PY,-2.277066,53.452813,E05000832,Longford,"c(-2.277066, 53.452813)"
M16 0PZ,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0QA,-2.275139,53.462174,E05000832,Longford,"c(-2.275139, 53.462174)"
M16 0QB,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0QD,-2.285006,53.46012,E05000832,Longford,"c(-2.285006, 53.46012)"
M16 0QE,-2.277112,53.452921,E05000832,Longford,"c(-2.277112, 53.452921)"
M16 0QF,-2.283606,53.460186,E05000832,Longford,"c(-2.283606, 53.460186)"
M16 0QG,-2.2886320000000002,53.46181,E05000829,Gorse Hill,"c(-2.288632, 53.46181)"
M16 0QH,-2.289153,53.463094,E05000829,Gorse Hill,"c(-2.289153, 53.463094)"
M16 0QJ,-2.27398,53.462321,E05000832,Longford,"c(-2.27398, 53.462321)"
M16 0QL,-2.275846,53.462047,E05000832,Longford,"c(-2.275846, 53.462047)"
M16 0QN,-2.27565,53.462047,E05000832,Longford,"c(-2.27565, 53.462047)"
M16 0QP,-2.28011,53.462217,E05000832,Longford,"c(-2.28011, 53.462217)"
M16 0QQ,-2.286462,53.459442,E05000832,Longford,"c(-2.286462, 53.459442)"
M16 0QR,-2.277158,53.453082,E05000832,Longford,"c(-2.277158, 53.453082)"
M16 0QS,-2.286295,53.461492,E05000832,Longford,"c(-2.286295, 53.461492)"
M16 0QT,-2.286001,53.460243,E05000832,Longford,"c(-2.286001, 53.460243)"
M16 0QU,-2.286128,53.461304,E05000832,Longford,"c(-2.286128, 53.461304)"
M16 0QW,-2.276587,53.46245,E05000825,Clifford,"c(-2.276587, 53.46245)"
M16 0QX,-2.286341,53.459272,E05000832,Longford,"c(-2.286341, 53.459272)"
M16 0QY,-2.286116,53.459506,E05000832,Longford,"c(-2.286116, 53.459506)"
M16 0QZ,-2.277081,53.452804,E05000832,Longford,"c(-2.277081, 53.452804)"
M16 0RA,-2.291032,53.462559,E05000829,Gorse Hill,"c(-2.291032, 53.462559)"
M16 0RB,-2.277053,53.459959,E05000832,Longford,"c(-2.277053, 53.459959)"
M16 0RD,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0RE,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0RF,-2.28761,53.457705,E05000832,Longford,"c(-2.28761, 53.457705)"
M16 0RG,-2.292153,53.461289,E05000829,Gorse Hill,"c(-2.292153, 53.461289)"
M16 0RH,-2.277066,53.452813,E05000832,Longford,"c(-2.277066, 53.452813)"
M16 0RJ,-2.294207,53.464312,E05000829,Gorse Hill,"c(-2.294207, 53.464312)"
M16 0RL,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0RN,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0RP,-2.283943,53.461137,E05000832,Longford,"c(-2.283943, 53.461137)"
M16 0RQ,-2.277066,53.452813,E05000832,Longford,"c(-2.277066, 53.452813)"
M16 0RR,-2.283116,53.461311,E05000832,Longford,"c(-2.283116, 53.461311)"
M16 0RS,-2.28611,53.458607,E05000832,Longford,"c(-2.28611, 53.458607)"
M16 0RT,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0RU,-2.286857,53.45999,E05000832,Longford,"c(-2.286857, 53.45999)"
M16 0RW,-2.282366,53.461699,E05000832,Longford,"c(-2.282366, 53.461699)"
M16 0RX,-2.287757,53.461668,E05000832,Longford,"c(-2.287757, 53.461668)"
M16 0RY,-2.279991,53.462541,E05000832,Longford,"c(-2.279991, 53.462541)"
M16 0RZ,-2.286857,53.45999,E05000832,Longford,"c(-2.286857, 53.45999)"
M16 0SA,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0SB,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0SD,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0SE,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0SF,-2.27372,53.452344,E05000832,Longford,"c(-2.27372, 53.452344)"
M16 0SG,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0SH,-2.279341,53.450596,E05000832,Longford,"c(-2.279341, 53.450596)"
M16 0SJ,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0SL,-2.277158,53.453082,E05000832,Longford,"c(-2.277158, 53.453082)"
M16 0SN,-2.286347,53.462454,E05000832,Longford,"c(-2.286347, 53.462454)"
M16 0SP,-2.285497,53.45922,E05000832,Longford,"c(-2.285497, 53.45922)"
M16 0SQ,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0SR,-2.286292,53.458795,E05000832,Longford,"c(-2.286292, 53.458795)"
M16 0SS,-2.28011,53.462217,E05000832,Longford,"c(-2.28011, 53.462217)"
M16 0ST,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0SU,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0SW,-2.28079,53.462539,E05000832,Longford,"c(-2.28079, 53.462539)"
M16 0SX,-2.277066,53.452813,E05000832,Longford,"c(-2.277066, 53.452813)"
M16 0SY,-2.286857,53.45999,E05000832,Longford,"c(-2.286857, 53.45999)"
M16 0SZ,-2.289206,53.464352,E05000829,Gorse Hill,"c(-2.289206, 53.464352)"
M16 0TA,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0TB,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0TD,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0TE,-2.262773,53.457321,E05000825,Clifford,"c(-2.262773, 53.457321)"
M16 0TF,-2.277112,53.452921,E05000832,Longford,"c(-2.277112, 53.452921)"
