postcode,lat,long
M16 0GY,53.460208,-2.285895
M16 0GZ,53.454952,-2.28467
M16 0HA,53.449427,-2.283745
M16 0HB,53.449603,-2.285176
M16 0HD,53.451004,-2.285457
M16 0HE,53.451436,-2.285264
M16 0HF,53.452677,-2.285122
M16 0HG,53.454853,-2.285031
M16 0HH,53.453009,-2.285395
M16 0HJ,53.452813,-2.277066
M16 0HL,53.457321,-2.262773
M16 0HN,53.457321,-2.262773
M16 0HP,53.462679,-2.278607
M16 0HQ,53.460186,-2.283606
M16 0HR,53.452664,-2.279249
M16 0HS,53.452705,-2.28074
M16 0HT,53.452561,-2.2811
M16 0HU,53.452335,-2.281641
M16 0HW,53.457321,-2.262773
M16 0HX,53.452414,-2.282153
M16 0HY,53.452216,-2.282544
M16 0HZ,53.452176,-2.284124
M16 0JA,53.451591,-2.284391
M16 0JB,53.45133,-2.284736
M16 0JD,53.453058,-2.283633
M16 0JE,53.453345,-2.284132
M16 0JF,53.453603,-2.285173
M16 0JG,53.454464,-2.281941
M16 0JH,53.453818,-2.285325
M16 0JJ,53.46563,-2.277315
M16 0JL,53.452804,-2.277081
M16 0JN,53.454492,-2.28545
M16 0JP,53.454067,-2.286652
M16 0JQ,53.45373,-2.280912
M16 0JR,53.454534,-2.28667
M16 0JS,53.455015,-2.28458
M16 0JT,53.455035,-2.283887
M16 0JU,53.455015,-2.28458
M16 0JW,53.45543,-2.284071
M16 0JX,53.46043,-2.27558
M16 0JY,53.455963,-2.283171
M16 0JZ,53.455053,-2.283812
M16 0LA,53.458628,-2.277074
M16 0LB,53.45609,-2.278518
M16 0LD,53.457995,-2.27466
M16 0LE,53.459411,-2.276446
M16 0LF,53.456742,-2.27652
M16 0LG,53.457364,-2.275831
M16 0LH,53.46129,-2.27673
M16 0LJ,53.460663,-2.275641
M16 0LL,53.46043,-2.27558
M16 0LN,53.459655,-2.276328
M16 0LP,53.459959,-2.277053
M16 0LQ,53.458634000000004,-2.274679
M16 0LR,53.461175,-2.276006
M16 0LS,53.455007,-2.276764
M16 0LT,53.456887,-2.276084
M16 0LU,53.456561,-2.277166
M16 0LW,53.458074,-2.275745
M16 0LX,53.455911,-2.278246
M16 0LY,53.455104,-2.277608
M16 0LZ,53.455537,-2.276888
M16 0NA,53.455684,-2.275413
M16 0NB,53.46043,-2.275474
M16 0ND,53.459056,-2.275029
M16 0NE,53.458632,-2.275568
M16 0NF,53.455998,-2.275686
M16 0NG,53.457776,-2.276406
M16 0NH,53.458827,-2.276819
M16 0NJ,53.459992,-2.278167
M16 0NL,53.45608,-2.282614
M16 0NN,53.458922,-2.278507
M16 0NP,53.458357,-2.281771
M16 0NQ,53.457883,-2.276949
M16 0NR,53.459294,-2.280723
M16 0NS,53.45752,-2.278377
M16 0NT,53.457065,-2.280693
M16 0NU,53.457321,-2.262773
M16 0NW,53.458013,-2.278742
M16 0NX,53.45682,-2.28158
M16 0NY,53.455914,-2.284586
M16 0NZ,53.460349,-2.275413
M16 0PA,53.45951,-2.28461
M16 0PB,53.457321,-2.262773
M16 0PD,53.459437,-2.285001
M16 0PE,53.461492,-2.278855
M16 0PF,53.462279,-2.276525
M16 0PG,53.459762,-2.284235
M16 0PH,53.461318,-2.280104
M16 0PJ,53.452921,-2.277112
M16 0PL,53.460855,-2.281938
M16 0PN,53.460783,-2.282058
M16 0PP,53.460648,-2.282328
M16 0PQ,53.460186,-2.283606
M16 0PR,53.457321,-2.262773
M16 0PS,53.459531,-2.275574
M16 0PT,53.458795,-2.286292
M16 0PU,53.458178,-2.285023
M16 0PW,53.460336,-2.280956
M16 0PX,53.45712,-2.287922
M16 0PY,53.452813,-2.277066
M16 0PZ,53.457321,-2.262773
M16 0QA,53.462174,-2.275139
M16 0QB,53.457321,-2.262773
M16 0QD,53.46012,-2.285006
M16 0QE,53.452921,-2.277112
M16 0QF,53.460186,-2.283606
M16 0QG,53.46181,-2.2886320000000002
M16 0QH,53.463094,-2.289153
M16 0QJ,53.462321,-2.27398
M16 0QL,53.462047,-2.275846
M16 0QN,53.462047,-2.27565
M16 0QP,53.462217,-2.28011
M16 0QQ,53.459442,-2.286462
M16 0QR,53.453082,-2.277158
M16 0QS,53.461492,-2.286295
M16 0QT,53.460243,-2.286001
M16 0QU,53.461304,-2.286128
M16 0QW,53.46245,-2.276587
M16 0QX,53.459272,-2.286341
M16 0QY,53.459506,-2.286116
M16 0QZ,53.452804,-2.277081
M16 0RA,53.462559,-2.291032
M16 0RB,53.459959,-2.277053
M16 0RD,53.457321,-2.262773
M16 0RE,53.457321,-2.262773
M16 0RF,53.457705,-2.28761
M16 0RG,53.461289,-2.292153
M16 0RH,53.452813,-2.277066
M16 0RJ,53.464312,-2.294207
M16 0RL,53.457321,-2.262773
M16 0RN,53.457321,-2.262773
M16 0RP,53.461137,-2.283943
M16 0RQ,53.452813,-2.277066
M16 0RR,53.461311,-2.283116
M16 0RS,53.458607,-2.28611
M16 0RT,53.457321,-2.262773
M16 0RU,53.45999,-2.286857
M16 0RW,53.461699,-2.282366
M16 0RX,53.461668,-2.287757
M16 0RY,53.462541,-2.279991
M16 0RZ,53.45999,-2.286857
M16 0SA,53.457321,-2.262773
M16 0SB,53.457321,-2.262773
M16 0SD,53.457321,-2.262773
M16 0SE,53.457321,-2.262773
M16 0SF,53.452344,-2.27372
M16 0SG,53.457321,-2.262773
M16 0SH,53.450596,-2.279341
M16 0SJ,53.457321,-2.262773
M16 0SL,53.453082,-2.277158
M16 0SN,53.462454,-2.286347
M16 0SP,53.45922,-2.285497
M16 0SQ,53.457321,-2.262773
M16 0SR,53.458795,-2.286292
M16 0SS,53.462217,-2.28011
M16 0ST,53.457321,-2.262773
M16 0SU,53.457321,-2.262773
M16 0SW,53.462539,-2.28079
M16 0SX,53.452813,-2.277066
M16 0SY,53.45999,-2.286857
M16 0SZ,53.464352,-2.289206
M16 0TA,53.457321,-2.262773
M16 0TB,53.457321,-2.262773
M16 0TD,53.457321,-2.262773
M16 0TE,53.457321,-2.262773
M16 0TF,53.452921,-2.277112
M16 0TG,53.461947,-2.276162
M16 0TH,53.457321,-2.262773
M16 0TJ,53.457321,-2.262773
M16 0TL,53.457321,-2.262773
M16 0TN,53.453082,-2.277158
M16 0TP,53.454397,-2.283461
M16 0TQ,53.457321,-2.262773
M16 0TR,53.459976,-2.277052
M16 0TS,53.453082,-2.277158
M16 0TT,53.46563,-2.277315
M16 0TU,53.459976,-2.277052
M16 0TW,53.459433,-2.282802
M16 0TX,53.458625,-2.27858
M16 0TY,53.457338,-2.262773
M16 0TZ,53.453082,-2.277158
M16 0UB,53.459782,-2.275289
M16 0UD,53.457321,-2.262773
M16 0UJ,53.452961,-2.2752
M16 0UL,53.452921,-2.277112
M16 0UQ,53.457321,-2.262773
M16 0UR,53.457321,-2.262773
M16 0US,53.457321,-2.262773
M16 0UT,53.457321,-2.262773
M16 0UU,53.457321,-2.262773
M16 0UW,53.457321,-2.262773
M16 0UX,53.451027,-2.27969
M16 0UY,53.457321,-2.262773
M16 0UZ,53.457321,-2.262773
M16 0WA,53.455718,-2.276151
M16 0WB,53.455932,-2.277056
M16 0WD,53.457321,-2.262773
M16 0WE,53.457321,-2.262773
M16 0WF,53.461198,-2.277588
M16 0WG,53.457222,-2.282742
M16 0WH,53.461144,-2.277708
M16 0WJ,53.459582,-2.276915
M16 0WL,53.459214,-2.276505
M16 0WN,53.457728,-2.277671
M16 0WP,53.45664,-2.277769
M16 0WQ,53.456739,-2.277679
M16 0WR,53.457321,-2.262773
M16 0WS,53.457321,-2.262773
M16 0WT,53.457321,-2.262773
M16 0WU,53.456027,-2.282599
M16 0WW,53.457054,-2.277772
M16 0WX,53.457745,-2.282068
M16 0WY,53.457065,-2.280693
M16 0WZ,53.455872,-2.283381
M16 0XA,53.457321,-2.262773
M16 0XB,53.457321,-2.262773
M16 0XD,53.457321,-2.262773
M16 0XE,53.457321,-2.262773
M16 0XF,53.457321,-2.262773
M16 0XG,53.457321,-2.262773
M16 0XH,53.453082,-2.277158
M16 0XJ,53.457321,-2.262773
M16 0XL,53.457321,-2.262773
M16 0XN,53.457321,-2.262773
M16 0XP,53.457321,-2.262773
M16 0XQ,53.457321,-2.262773
M16 0XR,53.457321,-2.262773
M16 0XS,53.457321,-2.262773
M16 0XT,53.457321,-2.262773
M16 0XU,53.457321,-2.262773
M16 0XW,53.457321,-2.262773
M16 0XX,53.460349,-2.287086
M16 0XY,53.457321,-2.262773
M16 0XZ,53.457321,-2.262773
M16 0YA,53.457321,-2.262773
M16 0YB,53.457321,-2.262773
M16 0YJ,53.452804,-2.277081
M16 0YP,53.457321,-2.262773
M16 0YQ,53.457321,-2.262773
M16 0YR,53.459771,-2.284235
M16 0YS,53.457321,-2.262773
M16 0YT,53.457321,-2.262773
M16 0YU,53.457321,-2.262773
